,LM number,Bone words,Region words,Data point,By Bone 14,By Bone (joining exoccipital+prootic) 12,By Region 19,Functional regions 6,Caecilian modules (FP in Fr) 9,Caecilian modules (FP in Pa) 10,Variably vs always present,Ossification sequence rank,"Simon+Marroig 2017 Functional 1 (NA: R, FP: R)","Simon+Marroig 2017 Functional 2 (NA: R, FP: N)","Simon+Marroig 2017 Functional 3 (NA: R, FP: Su)","Simon+Marroig 2017 Functional 4 (NA: Sn, FP: R)","Simon+Marroig 2017 Functional 5 (NA: Sn, FP: N)","Simon+Marroig 2017 Functional 6 (NA: Sn, FP: Su)","Pierkarski 1 (PS_sph: M, FP: H)","Pierkarski 2 (PS_sph: M, FP: M)","Pierkarski 3 (PS_sph: M, FP: B)","Pierkarski 4 (PS_sph: H, FP: H)","Pierkarski 5 (PS_sph: H, FP: M)","Pierkarski 6 (PS_sph: H, FP: B)","Vidal-Garcia 1. Snout: tip of the snout and the olfactory area (premaxilla, maxilla, and nasal),(I included Neo and Vo in snout too) 2: rest. ","Vidal-Garica 2: 1. dorsal, 2. ventral","Vidal-Garica 3: 1. snout, 2. rest, 3. squamosal","Vidal-Garcia 4: 1. snout, 2. posterior 3. medial","Vidal-Garcia 5: 1. snout, 2. rest, 3. brain region (dorsal sphenethemoid, exoccipital, frontoparietal)"
C73,427,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,428,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,429,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,430,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,431,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,432,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,433,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,434,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,435,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,436,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,437,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,438,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,439,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C73,440,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,441,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,442,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,443,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,444,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,445,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,446,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,447,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,448,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,449,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,450,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,451,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,452,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,453,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,454,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C74,455,Maxilla,Maxilla(d),"Max (lat): Anteriorly, tracing bone margin dorsal to tooth row: 15",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C75,456,Maxilla,Maxilla(d),"Max (lat): Dorsally, tracing bone margin: 5",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C75,457,Maxilla,Maxilla(d),"Max (lat): Dorsally, tracing bone margin: 5",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C75,458,Maxilla,Maxilla(d),"Max (lat): Dorsally, tracing bone margin: 5",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C75,459,Maxilla,Maxilla(d),"Max (lat): Dorsally, tracing bone margin: 5",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C75,460,Maxilla,Maxilla(d),"Max (lat): Dorsally, tracing bone margin: 5",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,461,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,462,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,463,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,464,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,465,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,466,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,467,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C76,468,Maxilla,Maxilla(d),"Max (lat): Posteriorly, tracing bone margin: 8",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P1,469,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,470,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,471,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,472,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,473,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,474,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,475,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,476,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,477,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,478,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,479,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P1,480,Premaxilla,Premaxilla(d),PmD patch 12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P2,481,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,482,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,483,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,484,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,485,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,486,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,487,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,488,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,489,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,490,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,491,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P2,492,Premaxilla,Premaxilla(v),PmV patch 12,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P3,493,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,494,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,495,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,496,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,497,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,498,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,499,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,500,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,501,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,502,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,503,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,504,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,505,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,506,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,507,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,508,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,509,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,510,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,511,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,512,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,513,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,514,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,515,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,516,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,517,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,518,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,519,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,520,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,521,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,522,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,523,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,524,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,525,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,526,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,527,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,528,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,529,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,530,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,531,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P3,532,Parasphenoid,Parasphenoid,PS patch 40,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
P4,533,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,534,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,535,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,536,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,537,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,538,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,539,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,540,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,541,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,542,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,543,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,544,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,545,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,546,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,547,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,548,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,549,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,550,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,551,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,552,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,553,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,554,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,555,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,556,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,557,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P4,558,Pterygoid,Pterygoid,Pt patch 26,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
P5,559,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,560,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,561,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,562,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,563,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,564,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,565,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,566,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,567,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,568,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,569,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,570,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,571,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,572,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,573,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,574,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,575,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,576,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,577,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P5,578,Maxilla,Maxilla(v),MaxV patch 20,2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
P6,579,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,580,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,581,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,582,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,583,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,584,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,585,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,586,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
P6,587,Nasal,Nasal,Na patch 20,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
